0	Gene::2665
1	Gene::11031
2	Anatomy::UBERON:0002048
3	Gene::10519
4	Compound::DB00235
5	Compound::DB01414
6	Compound::DB01297
7	Compound::DB13875
8	Anatomy::UBERON:0001295
9	Gene::158405
10	Anatomy::UBERON:0002240
11	Gene::351
12	Gene::2335
13	Gene::6935
14	Gene::5438
15	Biological Process::GO:0016458
16	Gene::7316
17	Gene::3416
18	Gene::100528032
19	Biological Process::GO:0032102
20	Gene::55142
21	Gene::84131
22	Gene::23464
23	Gene::56922
24	Compound::DB01377
25	Compound::DB04794
26	Gene::115948
27	Gene::9859
28	Compound::DB09106
29	Compound::DB13286
30	Anatomy::UBERON:0002082
31	Gene::2316
32	Compound::DB04831
33	Compound::DB14754
34	Anatomy::UBERON:0002081
35	Gene::23078
36	Gene::3651
37	Gene::6928
38	Compound::DB05018
39	Compound::DB11328
40	Gene::7272
41	Gene::2697
42	Gene::1316
43	Biological Process::GO:0002521
44	Compound::DB03450
45	Compound::DB11466
46	Gene::64976
47	Biological Process::GO:0043603
48	Gene::51616
49	Anatomy::UBERON:0002369
50	Gene::8975
51	Gene::8613
52	Gene::6839
53	Anatomy::UBERON:0000948
54	Gene::84624
55	Compound::DB00069
56	Compound::DB13014
57	Gene::55746
58	Pathway::PC7_2521
59	Compound::DB01016
60	Side Effect::C0034150
61	Gene::3796
62	Gene::3797
63	Gene::5585
64	Biological Process::GO:0008285
65	Anatomy::UBERON:0000178
66	Anatomy::UBERON:0002107
67	Gene::7520
68	Compound::DB00829
69	Side Effect::C0877609
70	Gene::23595
71	Gene::5985
72	Compound::MESH:C045645
73	Disease::MESH:D012559
74	Gene::3358
75	Compound::CHEMBL2103845
76	Gene::55197
77	Gene::6877
78	Compound::CHEBI:30785
79	Gene::854208
80	Compound::DB00068
81	Compound::DB00436
82	Compound::DB00022
83	Gene::3454
84	Compound::DB09241
85	Compound::DB11136
86	Gene::801
87	Gene::6553
88	Disease::MESH:D045743
89	Gene::151903
90	Gene::55165
91	Biological Process::GO:1903047
92	Anatomy::UBERON:0000998
93	Gene::55765
94	Compound::DB01021
95	Compound::DB14963
96	Gene::6015
97	Gene::7324
98	Compound::DB09212
99	Compound::DB09260
100	Gene::160418
101	Gene::64091
102	Compound::DB00327
103	Compound::DB00624
104	Gene::31
105	Gene::5565
106	Anatomy::UBERON:0000007
107	Gene::25894
108	Gene::56975
109	Gene::1471
110	Gene::6462
111	Gene::23420
112	Gene::391107
113	Gene::113263
114	Gene::6888
115	Gene::147841
116	Gene::5728
117	Compound::DB07232
118	Gene::100507055
119	Gene::9132
120	Compound::DB00126
121	Compound::DB01587
122	Gene::101
123	Gene::10857
124	Compound::DB00213
125	Compound::DB01142
126	Gene::23049
127	Gene::4736
128	Compound::DB00515
129	Disease::MESH:D003967
130	Gene::735
131	Gene::284532
132	Compound::DB00483
133	Compound::DB00557
134	Gene::7186
135	Biological Process::GO:0043406
136	Gene::23411
137	Biological Process::GO:0043068
138	Compound::DB09111
139	Compound::DB09219
140	Gene::2869
141	Gene::22907
142	Gene::23236
143	Gene::56923
144	Compound::DB07477
145	Compound::DB14059
146	Gene::10694
147	Gene::1459
148	Compound::DB12649
149	Compound::DB13541
150	Compound::DB05679
151	Compound::DB12893
152	Gene::5435
153	Gene::6917
154	Compound::DB00894
155	Compound::DB01233
156	Gene::8936
157	Gene::10097
158	Compound::DB14515
159	Atc::A12CC
160	Gene::5187
161	Biological Process::GO:0001933
162	Gene::147660
163	Gene::440295
164	Gene::1237
165	Gene::2833
166	Compound::DB00463
167	Compound::DB01482
168	Gene::63922
169	Gene::4171
170	Gene::10850
171	Compound::DB01236
172	Compound::DB06679
173	Anatomy::UBERON:0001013
174	Gene::79178
175	Compound::DB00668
176	Compound::DB12610
177	Gene::890
178	Gene::5518
179	Gene::8815
180	Gene::5786
181	Biological Process::GO:0048858
182	Compound::DB06155
183	Compound::DB08996
184	Gene::51134
185	Biological Process::GO:0022406
186	Gene::7040
187	Gene::50514
188	Compound::DB01119
189	Compound::DB12107
190	Compound::DB00301
191	Compound::DB09078
192	Gene::152573
193	Cellular Component::GO:0005789
194	Anatomy::UBERON:0002046
195	Gene::23462
196	Anatomy::UBERON:0000057
197	Gene::9746
198	Gene::159
199	Gene::84618
200	Compound::DB04665
201	Compound::DB14026
202	Compound::DB00559
203	Compound::DB00641
204	Gene::5170
205	Biological Process::GO:0016477
206	Gene::55584
207	Molecular Function::GO:0005262
208	Compound::DB00368
209	Compound::DB00376
210	Gene::2787
211	Gene::1132
212	Gene::4210
213	Gene::199713
214	Gene::9025
215	Gene::84142
216	Compound::DB00880
217	Compound::DB00912
218	Gene::8021
219	Gene::57122
220	Gene::54918
221	Gene::23601
222	Gene::8891
223	Gene::2617
224	Gene::23378
225	Gene::22893
226	Gene::100533467
